,Wound,Experiment,Folder Name,Path,Count
0,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-18-56,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-18-56/2023-01-29-18-57-44.jpg,11
1,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-16-50,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-16-50/2023-01-29-16-50-50.jpg,11
2,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-16-40,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-16-40/2023-01-29-16-40-54.jpg,11
3,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-18-46,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-18-46/2023-01-29-18-46-35.jpg,11
4,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-13-44,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-13-44/2023-01-29-13-44-48.jpg,11
5,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-19-51,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-19-51/2023-01-29-19-53-11.jpg,28
6,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-13-54,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-13-54/2023-01-29-13-55-06.jpg,11
7,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-19-41,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-19-41/2023-01-29-19-42-10.jpg,11
8,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-14-56,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-14-56/2023-01-29-14-57-44.jpg,11
9,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-18-36,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-18-36/2023-01-29-18-36-11.jpg,11
10,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-16-18,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-16-18/2023-01-29-16-19-46.jpg,11
11,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-17-23,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-17-23/2023-01-29-17-24-24.jpg,11
12,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-19-21,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-19-21/2023-01-29-19-21-46.jpg,11
13,Wound_2,20230131-20230207 Swine Expt-8,2023-01-29-19-31,/20230131-20230207 Swine Expt-8/TA2 wound picture by device camera_original name/Wound photo_sorted by wound/Wound_2/2023-01-29-19-31/2023-01-29-19-32-02.jpg,8
