,Wound,Experiment,Folder Name,Path,Count
0,Wound_5,DARPA_Porcine_Expt_1,after camera fall off,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 306/Wound_5/2022-08-08/after camera fall off/2022-08-02-21-26-25.jpg,88
1,Wound_5,DARPA_Porcine_Expt_1,20220808_1300,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 306/Wound_5/2022-08-08/20220808_1300/2022-08-02-21-18-23.jpg,11
2,Wound_1,DARPA_Porcine_Expt_1,after camera fall off,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 306/Wound_1/2022-08-08/after camera fall off/2022-08-03-02-56-27.jpg,88
3,Wound_1,DARPA_Porcine_Expt_1,20220808_1300,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 306/Wound_1/2022-08-08/20220808_1300/2022-08-03-02-41-56.jpg,11
4,Wound_5,DARPA_Porcine_Expt_1,20220808_1330,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_5/2022-08-08/20220808_1330/2022-08-02-21-22-24.jpg,11
5,Wound_5,DARPA_Porcine_Expt_1,after camera knock off,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_5/2022-08-08/after camera knock off/2022-08-02-21-35-51.jpg,183
6,Wound_5,DARPA_Porcine_Expt_1,20220808_1500,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_5/2022-08-08/20220808_1500/2022-08-02-21-25-43.jpg,11
7,Wound_5,DARPA_Porcine_Expt_1,20220808_1200,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_5/2022-08-08/20220808_1200/2022-08-02-21-19-51.jpg,11
8,Wound_1,DARPA_Porcine_Expt_1,202208098_0900,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/202208098_0900/2022-08-02-22-08-05.jpg,11
9,Wound_1,DARPA_Porcine_Expt_1,20220808_2100,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/20220808_2100/2022-08-02-21-41-22.jpg,11
10,Wound_1,DARPA_Porcine_Expt_1,20220808_1500,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/20220808_1500/2022-08-02-21-31-15.jpg,11
11,Wound_1,DARPA_Porcine_Expt_1,20220808_1200,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/20220808_1200/2022-08-02-21-27-01.jpg,11
12,Wound_1,DARPA_Porcine_Expt_1,20220808_1800,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/20220808_1800/2022-08-02-21-37-22.jpg,11
13,Wound_1,DARPA_Porcine_Expt_1,20220808_2230,/20220808-20220818 Swine Exp-1/DARPA_Porcine_Exp_1/Pig 305/Wound_1/2022-08-08/20220808_2230/2022-08-02-21-44-09.jpg,3
