,Wound,Experiment,Folder Name,Path,Count
0,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-01,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-01/2023-01-18-17-01-57.jpg,11
1,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-19-07,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-19-07/2023-01-18-19-07-36.jpg,11
2,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-36,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-36/2023-01-18-16-38-01.jpg,11
3,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-08,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-08/2023-01-18-18-08-42.jpg,11
4,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-53,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-53/2023-01-18-16-53-28.jpg,11
5,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-00,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-00/2023-01-18-18-01-26.jpg,11
6,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-35,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-35/2023-01-18-17-35-50.jpg,11
7,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-19-23,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-19-23/2023-01-18-19-25-07.jpg,22
8,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-50,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-50/2023-01-18-18-51-02.jpg,11
9,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-15-46,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-15-46/2023-01-18-15-46-46.jpg,11
10,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-03,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-03/2023-01-18-16-04-04.jpg,11
11,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-58,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-58/2023-01-18-19-00-01.jpg,11
12,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-18,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-18/2023-01-18-17-18-39.jpg,11
13,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-10,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-10/2023-01-18-17-11-12.jpg,11
14,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-25,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-25/2023-01-18-18-25-22.jpg,11
15,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-51,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-51/2023-01-18-17-53-14.jpg,11
16,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-43,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-43/._2023-01-18-17-45-02.jpg,22
17,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-15-29,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-15-29/._2023-01-18-15-29-58.jpg,22
18,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-33,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-33/2023-01-18-18-34-02.jpg,11
19,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-11,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-11/2023-01-18-16-11-57.jpg,11
20,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-42,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-42/2023-01-18-18-42-24.jpg,11
21,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-18-17,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-18-17/2023-01-18-18-17-37.jpg,11
22,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-17-26,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-17-26/2023-01-18-17-27-56.jpg,11
23,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-15-55,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-15-55/2023-01-18-15-55-35.jpg,11
24,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-45,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-45/2023-01-18-16-46-12.jpg,11
25,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-28,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-28/._2023-01-18-16-28-46.jpg,22
26,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-15-38,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-15-38/2023-01-18-15-38-26.jpg,11
27,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-19-15,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-19-15/2023-01-18-19-16-55.jpg,11
28,Wound_6,20230110-20230123 Swine Expt-7,2023-01-18-16-20,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_6/2023-01-18-16-20/2023-01-18-16-21-12.jpg,22
29,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-17-56,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-17-56/2023-01-18-17-56-39.jpg,11
30,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-19-11,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-19-11/2023-01-18-19-12-56.jpg,12
31,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-16-24,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-16-24/2023-01-18-16-24-37.jpg,22
32,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-15-34,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-15-34/2023-01-18-15-35-49.jpg,11
33,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-19-19,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-19-19/2023-01-18-19-21-17.jpg,22
34,Wound_5,20230110-20230123 Swine Expt-7,2023-01-18-15-59,/20230110-20230123 Swine Expt-7/TA2 Wound Image_Original name/Pi_2/Wound_5/2023-01-18-15-59/2023-01-18-16-01-04.jpg,10
